,filenames,labels
4996,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24088821.mp3,Arabic
4997,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24088770.mp3,Arabic
4998,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24088769.mp3,Arabic
4999,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24088718.mp3,Arabic
5000,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051545.mp3,Arabic
5001,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051425.mp3,Arabic
5002,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051577.mp3,Arabic
5003,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051540.mp3,Arabic
5004,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051573.mp3,Arabic
5005,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051524.mp3,Arabic
5006,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051579.mp3,Arabic
5007,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051732.mp3,Arabic
5008,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051792.mp3,Arabic
5009,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051791.mp3,Arabic
5010,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051872.mp3,Arabic
5011,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051904.mp3,Arabic
5012,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051862.mp3,Arabic
5013,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051871.mp3,Arabic
5014,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051814.mp3,Arabic
5015,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052044.mp3,Arabic
5016,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052005.mp3,Arabic
5017,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052038.mp3,Arabic
5018,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052011.mp3,Arabic
5019,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051901.mp3,Arabic
5020,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052048.mp3,Arabic
5021,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051938.mp3,Arabic
5022,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051986.mp3,Arabic
5023,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051945.mp3,Arabic
5024,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24051988.mp3,Arabic
5025,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052185.mp3,Arabic
5026,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052169.mp3,Arabic
5027,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052083.mp3,Arabic
5028,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052140.mp3,Arabic
5029,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052181.mp3,Arabic
5030,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052132.mp3,Arabic
5031,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052091.mp3,Arabic
5032,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052174.mp3,Arabic
5033,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052186.mp3,Arabic
5034,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052281.mp3,Arabic
5035,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052319.mp3,Arabic
5036,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052226.mp3,Arabic
5037,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052330.mp3,Arabic
5038,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052232.mp3,Arabic
5039,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052312.mp3,Arabic
5040,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052333.mp3,Arabic
5041,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052253.mp3,Arabic
5042,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052192.mp3,Arabic
5043,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052266.mp3,Arabic
5044,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052297.mp3,Arabic
5045,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052381.mp3,Arabic
5046,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052379.mp3,Arabic
5047,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052362.mp3,Arabic
5048,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052413.mp3,Arabic
5049,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052457.mp3,Arabic
5050,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052382.mp3,Arabic
5051,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052468.mp3,Arabic
5052,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052421.mp3,Arabic
5053,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052478.mp3,Arabic
5054,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052573.mp3,Arabic
5055,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052574.mp3,Arabic
5056,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052548.mp3,Arabic
5057,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052670.mp3,Arabic
5058,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052603.mp3,Arabic
5059,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052602.mp3,Arabic
5060,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052706.mp3,Arabic
5061,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052780.mp3,Arabic
5062,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052769.mp3,Arabic
5063,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052763.mp3,Arabic
5064,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052734.mp3,Arabic
5065,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052765.mp3,Arabic
5066,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052803.mp3,Arabic
5067,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052798.mp3,Arabic
5068,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052783.mp3,Arabic
5069,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052903.mp3,Arabic
5070,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052916.mp3,Arabic
5071,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052888.mp3,Arabic
5072,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052987.mp3,Arabic
5073,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052843.mp3,Arabic
5074,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052947.mp3,Arabic
5075,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052946.mp3,Arabic
5076,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24052929.mp3,Arabic
5077,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053023.mp3,Arabic
5078,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053013.mp3,Arabic
5079,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053401.mp3,Arabic
5080,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053417.mp3,Arabic
5081,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053416.mp3,Arabic
5082,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053451.mp3,Arabic
5083,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053405.mp3,Arabic
5084,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053444.mp3,Arabic
5085,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053384.mp3,Arabic
5086,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053436.mp3,Arabic
5087,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053445.mp3,Arabic
5088,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053569.mp3,Arabic
5089,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053469.mp3,Arabic
5090,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053572.mp3,Arabic
5091,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053590.mp3,Arabic
5092,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053503.mp3,Arabic
5093,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053565.mp3,Arabic
5094,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053546.mp3,Arabic
5095,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053553.mp3,Arabic
5096,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053518.mp3,Arabic
5097,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053562.mp3,Arabic
5098,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053592.mp3,Arabic
5099,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053488.mp3,Arabic
5100,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053657.mp3,Arabic
5101,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053752.mp3,Arabic
5102,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053763.mp3,Arabic
5103,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053717.mp3,Arabic
5104,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053765.mp3,Arabic
5105,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053617.mp3,Arabic
5106,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053720.mp3,Arabic
5107,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053646.mp3,Arabic
5108,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053712.mp3,Arabic
5109,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053664.mp3,Arabic
5110,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053803.mp3,Arabic
5111,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24053997.mp3,Arabic
5112,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054027.mp3,Arabic
5113,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054028.mp3,Arabic
5114,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054059.mp3,Arabic
5115,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054105.mp3,Arabic
5116,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054124.mp3,Arabic
5117,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054134.mp3,Arabic
5118,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054245.mp3,Arabic
5119,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054118.mp3,Arabic
5120,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054242.mp3,Arabic
5121,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054213.mp3,Arabic
5122,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054198.mp3,Arabic
5123,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054138.mp3,Arabic
5124,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054199.mp3,Arabic
5125,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054292.mp3,Arabic
5126,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054373.mp3,Arabic
5127,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054341.mp3,Arabic
5128,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054388.mp3,Arabic
5129,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054466.mp3,Arabic
5130,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054554.mp3,Arabic
5131,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054585.mp3,Arabic
5132,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054583.mp3,Arabic
5133,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054473.mp3,Arabic
5134,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054482.mp3,Arabic
5135,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054446.mp3,Arabic
5136,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054464.mp3,Arabic
5137,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054462.mp3,Arabic
5138,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054475.mp3,Arabic
5139,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054447.mp3,Arabic
5140,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054707.mp3,Arabic
5141,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054719.mp3,Arabic
5142,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054682.mp3,Arabic
5143,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054619.mp3,Arabic
5144,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054625.mp3,Arabic
5145,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054601.mp3,Arabic
5146,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054728.mp3,Arabic
5147,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054758.mp3,Arabic
5148,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054852.mp3,Arabic
5149,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054844.mp3,Arabic
5150,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054832.mp3,Arabic
5151,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054794.mp3,Arabic
5152,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054869.mp3,Arabic
5153,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054962.mp3,Arabic
5154,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054923.mp3,Arabic
5155,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24054916.mp3,Arabic
5156,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055051.mp3,Arabic
5157,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055061.mp3,Arabic
5158,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055085.mp3,Arabic
5159,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055206.mp3,Arabic
5160,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055235.mp3,Arabic
5161,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055079.mp3,Arabic
5162,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055074.mp3,Arabic
5163,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055099.mp3,Arabic
5164,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055190.mp3,Arabic
5165,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055250.mp3,Arabic
5166,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055240.mp3,Arabic
5167,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055119.mp3,Arabic
5168,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055160.mp3,Arabic
5169,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055227.mp3,Arabic
5170,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055161.mp3,Arabic
5171,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055105.mp3,Arabic
5172,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055174.mp3,Arabic
5173,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055298.mp3,Arabic
5174,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055373.mp3,Arabic
5175,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055425.mp3,Arabic
5176,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055301.mp3,Arabic
5177,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055322.mp3,Arabic
5178,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055353.mp3,Arabic
5179,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055277.mp3,Arabic
5180,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055458.mp3,Arabic
5181,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055474.mp3,Arabic
5182,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055549.mp3,Arabic
5183,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055570.mp3,Arabic
5184,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055533.mp3,Arabic
5185,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055490.mp3,Arabic
5186,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055507.mp3,Arabic
5187,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055588.mp3,Arabic
5188,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055572.mp3,Arabic
5189,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055532.mp3,Arabic
5190,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055558.mp3,Arabic
5191,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055608.mp3,Arabic
5192,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055437.mp3,Arabic
5193,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055550.mp3,Arabic
5194,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055455.mp3,Arabic
5195,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055436.mp3,Arabic
5196,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055451.mp3,Arabic
5197,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055527.mp3,Arabic
5198,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055559.mp3,Arabic
5199,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055575.mp3,Arabic
5200,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055519.mp3,Arabic
5201,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055564.mp3,Arabic
5202,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055528.mp3,Arabic
5203,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055589.mp3,Arabic
5204,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055580.mp3,Arabic
5205,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055560.mp3,Arabic
5206,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055704.mp3,Arabic
5207,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055786.mp3,Arabic
5208,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055705.mp3,Arabic
5209,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055687.mp3,Arabic
5210,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055681.mp3,Arabic
5211,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055739.mp3,Arabic
5212,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055670.mp3,Arabic
5213,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055714.mp3,Arabic
5214,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055675.mp3,Arabic
5215,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055621.mp3,Arabic
5216,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055712.mp3,Arabic
5217,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055644.mp3,Arabic
5218,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055764.mp3,Arabic
5219,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055800.mp3,Arabic
5220,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055721.mp3,Arabic
5221,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055785.mp3,Arabic
5222,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055640.mp3,Arabic
5223,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055812.mp3,Arabic
5224,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055919.mp3,Arabic
5225,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055804.mp3,Arabic
5226,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055910.mp3,Arabic
5227,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055823.mp3,Arabic
5228,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055924.mp3,Arabic
5229,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055931.mp3,Arabic
5230,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055852.mp3,Arabic
5231,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055918.mp3,Arabic
5232,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055807.mp3,Arabic
5233,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055868.mp3,Arabic
5234,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055836.mp3,Arabic
5235,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055882.mp3,Arabic
5236,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055895.mp3,Arabic
5237,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055820.mp3,Arabic
5238,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24055981.mp3,Arabic
5239,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24056022.mp3,Arabic
5240,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24056014.mp3,Arabic
